internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
14881,Notropis amecae,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Notropis,amecae,,,,,"Chernoff &amp; Miller, 1986",
14882,Notropis aulidion,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Notropis,aulidion,,,,,"Chernoff &amp; Miller, 1986",
191116,Atherinella callida,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Atherinella,callida,,,,,"Chernoff, 1986",
191696,Allotoca goslinei,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Allotoca,goslinei,,,,,"Smith &amp; Miller, 1987","The Holotype of this species was collected together with Paratopotypes by Robert Miller and others in February 1976 from the Río (Potrero) Grande, about 9.6km W of the town of Ameca. Several Paratypes go back to collections from the type location in 1957 and 1971, one single male to a collection of R. Vrijenhoek and M. Douglas from a bridge over the Río Ameca (precisely: Río Cuisillos), 1km E of the estación Pacana, SE of the Presa La Vega, in 1981. No subpopulations are distinguished."
20285,Skiffia francesae,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Skiffia,francesae,,,,,"Kingston, 1978","The types Kingston used for her description of <em>Skiffia francesae</em>&#160;(1978) were collected by Miller and Fitzsimons in 1970 from the Río Teuchitlán E of Teuchitlán. Two decades later, in 2006, a stock of <em>Skiffia </em>was found in the Molino pond near Cuyacapán, Laguna de Sayula drainage. Fish from this locality are regarded to belong to the Golden Skiffia. According to these two drainages, two subpopulations are recognized: The Upper Río Ameca subpopulation (type subpopulation) and the Laguna de Sayula subpopulation. Both are regarded Extinct in the Wild."
21120,Stypodon signifer,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Stypodon,signifer,,,,,"Garman, 1881",
8431,Evarra bustamantei,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Evarra,bustamantei,,,,,"Navarro, 1955",
8432,Evarra eigenmanni,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Evarra,eigenmanni,,,,,"Woolman, 1894",
8433,Evarra tlahuacensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Evarra,tlahuacensis,,,,,"Meek, 1902",
11774,Leptoxis compacta,ANIMALIA,MOLLUSCA,GASTROPODA,SORBEOCONCHA,PLEUROCERIDAE,Leptoxis,compacta,,,,,"(Anthony, 1854)",
165228,Bromus bromoideus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Bromus,bromoideus,,,,,(Lej.) Crep.,"Genetic studies suggest that this species should be regarded as a variant of the widespread <em>Bromus secalinus</em> L. (Ainouche and Bayer 1997), whilst Tourney (1968) earlier placed the taxon as a subspecies of&#160;<em>Bromus grossus</em> Desf. ex DC."
166049,Anabarilius macrolepis,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,XENOCYPRIDIDAE,Anabarilius,macrolepis,,,,,"Yih &amp; Wu, 1964",
180996,Platytropius siamensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,HORABAGRIDAE,Platytropius,siamensis,,,,,"(Sauvage, 1883)",<em>Platytropius siamensis</em> was described from the Chao Phraya River in Bangkok (Sauvage 1883) as a species of <em>Pseudeutropius</em>. Hora (1937) subsequently erected the genus <em>Platytropius</em> for this species.
184510,Chambardia letourneuxi,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,IRIDINIDAE,Chambardia,letourneuxi,,,,,"Servain, 1890",The name of the family Mutelidae has been altered in Iridinidae.
184524,Pseudamnicola desertorum,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Pseudamnicola,desertorum,,,,,"(Bourguignat, 1862)",The generic status is uncertain due to lack of anatomical data. The taxonomy of the hydrobiids of Algeria has not been revised since 1864.
